Orthogroup	CB4856	DL238	ECA1185	ECA1187	ECA1202	ECA1208	ECA1228	ECA1243	ECA1260	ECA1286	ECA1287	ECA1493	ECA1693	ECA1725	ECA1751	ECA1757	ECA1769	ECA1825	ECA1843	ECA1851	ECA191	ECA1943	ECA1997	ECA2081	ECA2109	ECA2111	ECA2187	ECA2199	ECA2367	ECA2377	ECA2417	ECA2452	ECA2473	ECA2561	ECA2581	ECA2948	ECA3025	ECA3035	ECA3088	ECA347	ECA369	ECA701	ECA703	ECA706	ECA722	ECA723	ECA730	ECA741	ECA742	ECA768	EG4725	JU258	JU3166	JU3226	JU775	MY23	NIC1790	NIC195	NIC199	QX1791	WN2001	XZ1515	XZ1516	N2	AB1	CB4852	CGC1	CX11254	CX11264	CX11314	ECA1186	ECA1195	ECA1237	ECA1255	ECA1409	ECA1413	ECA1761	ECA1889	ECA2151	ECA2281	ECA2336	ECA248	ECA250	ECA251	ECA2529	ECA2555	ECA2565	ECA259	ECA2607	ECA2676	ECA2952	ECA2968	ECA3005	ECA3012	ECA36	ECA594	ECA738	ECA923	ED3017	ED3049	ED3073	JT11398	JU1400	JU1409	JU1581	JU2001	JU2526	JU2600	JU2829	JU2841	JU310	JU311	JU3128	JU3282	JU346	JU394	JU440	JU782	LKC34	MY1	MY10	MY16	MY2147	MY2212	MY2693	NIC1	NIC1119	NIC1775	NIC1792	NIC1810	NIC2	NIC259	NIC526	PX179	QG4018	QG4021	QX1794	RC301	TWN2530	WN2082	WN2117	XZ1513
OG0000000	11	17	21	22	16	14	16	13	13	13	17	24	28	25	16	17	16	27	28	25	16	14	14	16	27	14	27	18	27	14	14	16	14	21	22	16	25	14	21	21	13	17	13	13	17	14	15	27	28	17	16	13	13	28	16	14	16	16	14	13	14	18	15	13	17	17	13	14	17	17	14	25	14	19	16	17	25	18	16	27	27	16	17	17	17	15	13	17	14	14	27	14	25	25	28	14	19	16	14	13	16	14	14	12	13	15	16	13	15	14	14	18	14	16	14	14	13	14	16	16	13	14	13	17	17	14	17	17	16	12	13	15	14	13	14	14	19	17	17	12	14	15
OG0000001	15	15	15	13	14	14	14	14	13	14	14	15	14	16	16	14	16	13	14	13	15	15	13	14	12	14	13	14	14	13	14	13	14	14	14	16	13	14	15	13	15	14	14	14	15	16	15	14	15	13	14	14	14	14	14	14	14	18	14	14	14	14	13	16	15	15	16	14	14	14	14	14	18	14	16	14	13	14	16	12	13	14	14	14	14	14	15	14	15	14	12	14	13	16	14	14	15	16	14	14	14	14	14	14	14	14	14	14	14	15	14	14	14	14	14	15	14	15	15	14	17	14	15	15	14	14	14	16	14	14	14	14	14	15	14	14	14	14	14	14	14	14
OG0000002	14	15	15	14	13	14	14	12	13	13	13	14	14	16	15	14	16	14	14	12	14	14	14	14	12	14	14	14	14	13	14	12	14	14	13	16	14	13	14	14	14	14	13	14	15	16	14	14	15	13	14	14	14	14	13	14	14	16	14	14	14	14	12	15	15	15	14	13	13	13	13	14	18	14	16	14	14	14	16	12	14	14	14	14	14	14	15	14	15	14	12	14	14	15	14	14	15	16	14	14	14	14	14	14	13	13	13	13	14	14	13	13	14	14	13	14	13	16	15	14	17	13	14	15	14	14	14	16	13	14	14	14	14	15	14	14	14	14	14	14	13	14
OG0000003	13	13	14	12	10	11	12	13	13	11	11	12	13	13	12	13	12	12	12	11	11	15	12	11	11	13	12	12	12	13	11	13	12	12	12	13	12	12	14	12	14	12	12	11	12	13	12	12	12	12	12	12	12	11	12	13	13	16	12	12	12	12	11	15	14	14	15	12	13	13	13	12	15	13	13	12	12	13	12	11	12	12	12	12	12	12	14	13	14	11	11	12	12	14	12	12	13	14	12	12	12	12	13	12	12	12	12	12	12	14	12	12	12	12	13	14	13	13	13	12	16	12	14	14	12	12	12	15	12	12	12	12	12	14	12	13	13	12	12	12	12	13
OG0000004	6	13	NA	6	6	8	11	7	NA	9	6	1	9	3	8	11	10	4	6	1	6	NA	8	2	NA	10	4	1	12	5	7	8	4	4	6	4	5	6	NA	4	6	NA	5	5	3	4	4	4	6	13	7	7	11	2	6	9	9	9	7	3	9	6	1	NA	7	4	8	6	6	7	6	2	3	5	3	6	4	9	5	2	5	3	4	1	2	5	7	6	2	7	2	6	2	2	3	8	6	6	8	3	8	7	6	9	9	7	5	9	7	5	3	8	10	7	8	10	9	3	NA	7	8	8	6	6	6	7	5	5	5	7	6	8	6	9	NA	9	8	7	6	6	5	5
OG0000005	5	7	5	6	9	8	7	5	5	9	7	5	7	5	8	4	8	6	6	5	8	5	8	8	6	5	6	11	7	5	7	4	8	6	6	8	5	4	5	5	5	7	6	6	8	9	8	7	5	7	5	4	4	6	4	4	5	5	4	5	4	9	6	4	4	5	4	4	5	5	5	5	9	5	8	7	5	6	8	6	6	6	5	5	6	5	4	6	5	5	6	6	5	5	6	4	6	6	4	4	5	4	4	5	4	5	4	4	4	4	4	6	4	5	5	5	4	5	5	6	6	4	4	5	6	4	4	6	6	6	4	4	4	4	4	5	6	5	5	4	4	7
OG0000006	5	2	3	4	4	4	4	2	1	6	3	3	5	4	3	3	2	4	NA	3	5	2	6	3	4	4	4	2	1	4	3	2	3	5	2	3	3	1	4	1	4	2	3	6	3	6	5	3	5	3	3	4	5	4	5	3	2	7	4	4	3	NA	5	2	8	8	8	3	4	4	1	3	5	4	3	1	2	3	5	4	4	3	2	3	3	5	7	1	7	2	4	3	2	4	4	3	3	20	8	2	4	5	2	10	4	5	4	8	6	7	11	8	6	2	3	8	8	4	5	5	12	9	9	6	4	4	4	6	5	3	10	2	4	9	7	2	5	3	5	5	10	1
OG0000007	4	5	5	3	4	4	4	4	4	4	4	4	2	5	6	4	6	3	3	3	5	4	4	4	3	4	3	6	3	4	4	4	5	4	4	6	5	4	4	3	5	4	4	4	5	6	5	3	3	3	4	4	4	2	4	4	4	8	4	4	4	4	4	5	5	5	5	4	4	4	4	2	8	4	6	4	3	4	6	3	3	4	4	4	4	4	5	4	5	4	3	4	3	5	2	4	6	6	3	4	4	4	4	4	4	4	4	3	4	5	3	3	4	4	4	5	4	4	4	4	7	3	5	5	3	4	4	6	4	4	4	4	4	5	4	4	4	4	4	4	3	4
OG0000008	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
OG0000009	3	4	4	4	5	5	5	4	4	5	5	4	4	5	4	4	4	4	4	4	4	4	4	5	4	4	4	4	4	4	5	4	5	4	4	4	3	3	3	4	4	5	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	2	3	4	4	4	4	6	4	4	6	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	4	4	4	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	4	3	4	4
