strain	gene	class
AB1	g61	core
AB1	g62	core
AB1	g63	core
AB1	g64	accessory
AB1	g65	core
AB1	g66	accessory
AB1	g67	accessory
AB1	g68	accessory
AB1	g69	core
AB1	g70	core
AB1	g71	core
AB1	g72	core
AB1	g73	core
AB1	g74	accessory
AB1	g75	core
AB1	g76	core
AB1	g77	core
AB1	g78	core
AB1	g79	core
AB1	g80	accessory
AB1	g81	core
AB1	g82	accessory
AB1	g83	accessory
AB1	g84	accessory
AB1	g85	accessory
AB1	g86	core
AB1	g87	core
AB1	g88	core
AB1	g89	core
AB1	g90	core
AB1	g91	core
AB1	g92	core
AB1	g93	core
AB1	g94	accessory
AB1	g95	accessory
AB1	g96	core
AB1	g97	accessory
AB1	g98	core
AB1	g99	core
AB1	g100	accessory
AB1	g101	accessory
AB1	g102	accessory
AB1	g103	accessory
AB1	g104	accessory
AB1	g105	core
AB1	g106	accessory
AB1	g107	core
AB1	g162	accessory
AB1	g163	accessory
AB1	g164	core
AB1	g165	core
AB1	g170	core
AB1	g171	core
AB1	g172	core
AB1	g173	core
AB1	g174	accessory
AB1	g175	core
AB1	g179	accessory
AB1	g180	accessory
AB1	g181	accessory
AB1	g182	accessory
AB1	g183	accessory
AB1	g184	core
AB1	g185	core
AB1	g186	accessory
AB1	g187	core
AB1	g188	core
AB1	g189	core
AB1	g190	accessory
AB1	g191	accessory
AB1	g192	accessory
AB1	g193	accessory
AB1	g194	accessory
AB1	g195	core
AB1	g196	private
AB1	g197	core
AB1	g198	core
AB1	g199	accessory
AB1	g200	accessory
AB1	g201	accessory
AB1	g202	core
AB1	g203	accessory
AB1	g204	core
AB1	g205	core
AB1	g206	core
AB1	g207	accessory
AB1	g208	core
AB1	g209	accessory
AB1	g210	accessory
AB1	g211	accessory
AB1	g233	accessory
AB1	g234	accessory
AB1	g235	core
AB1	g236	core
AB1	g241	core
AB1	g242	accessory
AB1	g243	accessory
AB1	g244	accessory
AB1	g245	accessory
AB1	g246	private
AB1	g247	core
AB1	g248	accessory
AB1	g249	accessory
AB1	g250	core
AB1	g8461	accessory
AB1	g8462	accessory
AB1	g8463	core
AB1	g8479	core
AB1	g8480	accessory
AB1	g8481	core
AB1	g8482	core
AB1	g8526	core
AB1	g8527	core
AB1	g8528	accessory
AB1	g8529	core
AB1	g8530	core
AB1	g8531	core
AB1	g8580	accessory
AB1	g8581	core
AB1	g8598	core
AB1	g8599	accessory
AB1	g8600	core
AB1	g8601	core
AB1	g8602	core
AB1	g10762	core
AB1	g10763	core
AB1	g10764	accessory
AB1	g10765	core
AB1	g10766	core
AB1	g10767	accessory
AB1	g10768	accessory
AB1	g10769	accessory
AB1	g10770	accessory
AB1	g10771	core
AB1	g10772	accessory
AB1	g10773	accessory
AB1	g10774	core
AB1	g10775	accessory
AB1	g10776	accessory
AB1	g10777	accessory
AB1	g10778	accessory
AB1	g10779	accessory
AB1	g10780	accessory
AB1	g10781	accessory
AB1	g10782	core
AB1	g10783	accessory
AB1	g10784	accessory
AB1	g10785	core
AB1	g10839	accessory
AB1	g10840	accessory
AB1	g11031	accessory
AB1	g14357	core
AB1	g14358	accessory
AB1	g14359	core
AB1	g14360	core
AB1	g14361	accessory
AB1	g14394	core
AB1	g14395	accessory
AB1	g14397	core
AB1	g14398	core
AB1	g14399	core
AB1	g14414	core
AB1	g14415	accessory
AB1	g14630	core
AB1	g14631	core
AB1	g16392	core
AB1	g16393	core
AB1	g16394	core
AB1	g16400	accessory
AB1	g16401	core
AB1	g16402	accessory
AB1	g16403	accessory
AB1	g16404	accessory
AB1	g16405	accessory
AB1	g16406	accessory
AB1	g16407	accessory
AB1	g16408	accessory
AB1	g16409	core
AB1	g16412	core
AB1	g16413	core
AB1	g16414	accessory
AB1	g16415	accessory
AB1	g16416	core
AB1	g16417	core
AB1	g16418	accessory
AB1	g16419	core
AB1	g16432	core
AB1	g16433	core
AB1	g16434	core
AB1	g16435	accessory
AB1	g17856	accessory
AB1	g17857	accessory
AB1	g17858	accessory
AB1	g17859	accessory
AB1	g17860	accessory
AB1	g17861	accessory
AB1	g17862	accessory
AB1	g17863	accessory
AB1	g17864	accessory
AB1	g17865	accessory
AB1	g17866	core
AB1	g17867	accessory
AB1	g17868	core
AB1	g17869	accessory
AB1	g17872	accessory
AB1	g17873	accessory
AB1	g17874	accessory
AB1	g17875	accessory
AB1	g17876	accessory
AB1	g17877	accessory
AB1	g17878	accessory
AB1	g17879	accessory
AB1	g17880	core
AB1	g17881	core
AB1	g17909	core
AB1	g17910	core
AB1	g17911	core
AB1	g17912	accessory
AB1	g18016	accessory
AB1	g18017	accessory
AB1	g18018	private
AB1	g18019	accessory
AB1	g18020	accessory
AB1	g18021	accessory
AB1	g18022	accessory
AB1	g18023	accessory
AB1	g18024	accessory
AB1	g18025	accessory
AB1	g18026	accessory
AB1	g18027	accessory
AB1	g18028	accessory
AB1	g18029	accessory
AB1	g18030	core
AB1	g18031	accessory
AB1	g18032	accessory
AB1	g18033	accessory
AB1	g18034	accessory
AB1	g18035	accessory
AB1	g18036	accessory
AB1	g18037	accessory
AB1	g18151	core
AB1	g18152	accessory
AB1	g18153	core
AB1	g18168	accessory
AB1	g18169	accessory
AB1	g18170	accessory
AB1	g18171	accessory
AB1	g18172	accessory
AB1	g18173	accessory
AB1	g18174	accessory
AB1	g18175	accessory
AB1	g18176	accessory
AB1	g18177	accessory
AB1	g18178	accessory
AB1	g18179	accessory
AB1	g18195	accessory
AB1	g18196	accessory
AB1	g20703	accessory
AB1	g20704	accessory
AB1	g20705	accessory
AB1	g20706	accessory
AB1	g20707	accessory
AB1	g20708	accessory
AB1	g20709	core
AB1	g20710	core
AB1	g20711	core
AB1	g20712	accessory
AB1	g20713	accessory
AB1	g20714	accessory
AB1	g20715	accessory
AB1	g20716	core
AB1	g20717	core
AB1	g20718	accessory
AB1	g20719	accessory
AB1	g20720	accessory
AB1	g20721	accessory
AB1	g20722	accessory
AB1	g20723	accessory
AB1	g20797	accessory
AB1	g20798	accessory
AB1	g20799	core
AB1	g20800	accessory
AB1	g20801	core
AB1	g20802	core
AB1	g20803	accessory
AB1	g20804	accessory
AB1	g20919	accessory
AB1	g20920	accessory
AB1	g20921	accessory
AB1	g20922	accessory
AB1	g20931	accessory
AB1	g20932	core
AB1	g20933	core
AB1	g20934	accessory
AB1	g20935	accessory
AB1	g20936	accessory
AB1	g20937	accessory
AB1	g20938	accessory
AB1	g20939	accessory
AB1	g20940	accessory
AB1	g20941	accessory
AB1	g20942	accessory
AB1	g20943	accessory
AB1	g20944	accessory
AB1	g20945	accessory
AB1	g20946	core
AB1	g20947	core
AB1	g20948	core
AB1	g20964	core
AB1	g20965	core
AB1	g20967	core
AB1	g20991	accessory
AB1	g20992	core
AB1	g20994	core
AB1	g21955	core
AB1	g21956	core
AB1	g22120	core
AB1	g22121	accessory
AB1	g22122	accessory
AB1	g22123	accessory
AB1	g22124	accessory
AB1	g22125	accessory
AB1	g22126	core
AB1	g22127	accessory
AB1	g22128	accessory
AB1	g22129	accessory
AB1	g22130	core
AB1	g22131	accessory
AB1	g22132	core
AB1	g22133	core
AB1	g22134	accessory
AB1	g22135	accessory
AB1	g22136	core
AB1	g22137	accessory
AB1	g22138	accessory
AB1	g22139	core
AB1	g22150	core
AB1	g22151	accessory
AB1	g22152	accessory
AB1	g22153	core
AB1	g22154	core
AB1	g22155	core
AB1	g22156	core
AB1	g22157	accessory
AB1	g22158	accessory
AB1	g22159	accessory
AB1	g22160	accessory
AB1	g22161	core
AB1	g22162	accessory
AB1	g22163	accessory
AB1	g22164	accessory
AB1	g22165	accessory
AB1	g22166	accessory
AB1	g22167	accessory
AB1	g22168	core
AB1	g22169	core
AB1	g22285	accessory
AB1	g22286	core
AB1	g22287	core
AB1	g22288	accessory
AB1	g22289	accessory
AB1	g22290	accessory
AB1	g22291	accessory
AB1	g22292	accessory
AB1	g22293	accessory
AB1	g22294	accessory
AB1	g22295	accessory
AB1	g22296	accessory
AB1	g22297	accessory
AB1	g22298	accessory
AB1	g22299	accessory
AB1	g22300	accessory
AB1	g22301	accessory
AB1	g22302	accessory
AB1	g22303	accessory
AB1	g22304	accessory
AB1	g22305	accessory
AB1	g22306	accessory
AB1	g22307	accessory
AB1	g22308	accessory
AB1	g22309	accessory
AB1	g22310	accessory
AB1	g22311	accessory
AB1	g22312	accessory
AB1	g22313	accessory
AB1	g22314	accessory
AB1	g22315	accessory
AB1	g22316	accessory
AB1	g22317	accessory
AB1	g22318	accessory
AB1	g22319	accessory
AB1	g22320	accessory
AB1	g22321	accessory
AB1	g22322	accessory
AB1	g22340	core
AB1	g22341	core
AB1	g22342	core
AB1	g22343	core
AB1	g22344	accessory
AB1	g22345	core
AB1	g22346	core
AB1	g22347	accessory
AB1	g22348	accessory
AB1	g22349	accessory
AB1	g22350	accessory
AB1	g22351	accessory
AB1	g22352	accessory
AB1	g22353	accessory
AB1	g22354	accessory
AB1	g22355	accessory
AB1	g22356	accessory
AB1	g22357	accessory
AB1	g22358	accessory
AB1	g22359	accessory
AB1	g22360	accessory
AB1	g22361	accessory
AB1	g22362	accessory
AB1	g22363	accessory
AB1	g22364	accessory
AB1	g22365	accessory
AB1	g22366	accessory
CB4852	g6808	accessory
CB4852	g6809	accessory
CB4852	g6810	accessory
CB4852	g6811	accessory
CB4852	g6812	accessory
CB4852	g6813	accessory
CB4852	g6814	core
CB4852	g6815	core
CB4852	g6816	core
CB4852	g6817	accessory
CB4852	g6818	accessory
CB4852	g6819	accessory
CB4852	g6820	accessory
CB4852	g6821	core
CB4852	g6822	core
CB4852	g6900	accessory
CB4852	g6901	accessory
CB4852	g6902	core
CB4852	g6903	accessory
CB4852	g6904	core
CB4852	g6905	core
CB4852	g6906	accessory
CB4852	g6907	accessory
CB4852	g6991	accessory
CB4852	g6992	accessory
CB4852	g6993	accessory
CB4852	g6994	accessory
CB4852	g6995	accessory
CB4852	g6996	accessory
CB4852	g6997	accessory
CB4852	g6998	accessory
CB4852	g6999	accessory
CB4852	g7000	accessory
CB4852	g7001	accessory
CB4852	g7002	accessory
CB4852	g7003	accessory
CB4852	g7004	accessory
CB4852	g7005	accessory
CB4852	g7006	accessory
CB4852	g7007	accessory
CB4852	g7008	accessory
CB4852	g7009	accessory
CB4852	g7010	core
CB4852	g7011	core
CB4852	g7012	accessory
CB4852	g7013	core
CB4852	g7014	core
CB4852	g7015	core
CB4852	g7016	core
CB4852	g7027	accessory
CB4852	g7028	accessory
CB4852	g7029	accessory
CB4852	g7030	accessory
CB4852	g7032	accessory
CB4852	g7033	accessory
CB4852	g7034	accessory
CB4852	g7035	accessory
CB4852	g7036	accessory
CB4852	g7037	accessory
CB4852	g7038	accessory
CB4852	g7039	accessory
CB4852	g7040	accessory
CB4852	g7041	accessory
CB4852	g7042	accessory
CB4852	g7043	accessory
CB4852	g7044	accessory
CB4852	g7045	accessory
CB4852	g7046	accessory
CB4852	g7047	accessory
CB4852	g7048	accessory
CB4852	g7049	accessory
CB4852	g7050	accessory
CB4852	g7051	accessory
CB4852	g7052	accessory
CB4852	g7053	accessory
CB4852	g7054	accessory
CB4852	g7055	accessory
CB4852	g7056	accessory
CB4852	g7057	core
CB4852	g7058	core
CB4852	g7059	accessory
